dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,path,metadata_version,MC Aleatoric Mean,MC Epistemic Mean,MC Total Mean,P Aleatoric Mean,P Epistemic Mean,P Total Mean
mteb/tweet_sentiment_extraction,2,pure_logits,greedy_50_post_calib,50,23,0.4665455818176269,1.4511953352769682,0.599750104123282,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_2_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.445484459400177,0.022497477009892464,0.46798190474510193,0.3880748152732849,0.07991776615381241,0.4679925739765167
ag_news,2,pure_logits,greedy_50_post_calib,50,29,0.1918625086545944,1.6690045814244066,0.7097042898792171,1.0,llm_experiments_data/arrays/ag_news_2_pure_logits_greedy_50_post_calib_2025-04-20.npz,mini,0.17724986374378204,0.010435388423502445,0.18768525123596191,0.12843447923660278,0.059236008673906326,0.1876704841852188
ag_news,2,pure_logits,greedy_50_post_calib,50,20,0.1406689137220382,1.53076218242399,0.5597667638483965,1.0,llm_experiments_data/arrays/ftc_ag_news_2_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.13881787657737732,0.0032293808180838823,0.14204727113246918,0.12482794374227524,0.0172022245824337,0.14203017950057983
dbpedia_14,2,pure_logits,greedy_50_post_calib,50,26,0.0307621862739324,1.7963015410245733,0.7530195751770096,1.0,llm_experiments_data/arrays/dbpedia_14_2_pure_logits_greedy_50_post_calib_2025-04-20.npz,mini,0.03119690902531147,0.00065932038705796,0.0318562351167202,0.022586029022932053,0.009145696647465229,0.03173172473907471
dbpedia_14,2,pure_logits,greedy_50_post_calib,50,12,0.0288405288010835,1.7397251145356103,0.614743856726364,1.0,llm_experiments_data/arrays/ftc_dbpedia_14_2_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.029133569449186325,0.00022675054788123816,0.029360320419073105,0.02630702033638954,0.002917418023571372,0.029224438592791557
stanfordnlp/sst2,2,pure_logits,greedy_50_post_calib,50,24,0.131059467792511,1.4868804664723034,0.793002915451895,1.0,llm_experiments_data/arrays/stanfordnlp_sst2_2_pure_logits_greedy_50_post_calib_2025-04-24.npz,mini,0.11104653775691986,0.019032076001167297,0.13007861375808716,0.06405678391456604,0.0660243034362793,0.13008107244968414
stanfordnlp/sst2,2,pure_logits,greedy_50_post_calib,50,22,0.1065568625926971,1.6296209912536446,0.6847147022074136,1.0,llm_experiments_data/arrays/ftc_stanfordnlp_sst2_2_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.09893561154603958,0.009208489209413528,0.10814408957958221,0.07633339613676071,0.03180626034736633,0.10813964903354645
SetFit/mnli,2,pure_logits,greedy_50_post_calib,50,22,0.3479413688182831,1.868021657642649,0.5247813411078717,1.0,llm_experiments_data/arrays/setfit_mnli_2_pure_logits_greedy_50_post_calib_2025-04-24.npz,mini,0.32928377389907837,0.018649974837899208,0.3479337692260742,0.2801249027252197,0.06780023127794266,0.3479251265525818
SetFit/mnli,2,pure_logits,greedy_50_post_calib,50,14,0.4965460002422333,1.983573511037068,0.0,1.0,llm_experiments_data/arrays/ftc_setfit_mnli_2_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.49741604924201965,5.003267915526521e-07,0.49741652607917786,0.49741223454475403,3.237166090741539e-11,0.49741223454475403
imdb,3,pure_logits,greedy_50_post_calib,50,20,0.126470685005188,1.0828488129945857,0.9662640566430654,1.0,llm_experiments_data/arrays/imdb_3_pure_logits_greedy_50_post_calib_2025-04-20.npz,mini,0.0898059755563736,0.018284104764461517,0.10809006541967392,0.03800583630800247,0.07008525729179382,0.1080910935997963
