dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,ensemble_time,calibration_time,path
mteb/tweet_sentiment_extraction,2,pure_logits,greedy_5_post_calib,5,5,0.5220748782157898,1.4274052478134114,0.694710537276135,1,0.0974884033203125,2.638812780380249,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_2_pure_logits_greedy_5_post_calib_2025-09-23.npz
mteb/tweet_sentiment_extraction,2,pure_logits,greedy_50_post_calib,50,26,0.500332236289978,1.1283298625572677,0.9496043315285299,1,0.0974884033203125,11.40553069114685,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_2_pure_logits_greedy_50_post_calib_2025-09-23.npz
mteb/tweet_sentiment_extraction,3,pure_logits,greedy_5_baseline,5,5,0.5318763256072998,,,,1.6096489429473877,0.0,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_3_pure_logits_greedy_5_baseline_2025-09-23.npz
mteb/tweet_sentiment_extraction,3,pure_logits,greedy_50_baseline,50,28,0.4969528615474701,,,,1.6096489429473877,0.0,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_3_pure_logits_greedy_50_baseline_2025-09-23.npz
mteb/tweet_sentiment_extraction,3,pure_logits,greedy_50_temp_pool_then_calibrate,50,28,0.496857225894928,1.0163265306122449,,,1.6096489429473877,0.006856679916381836,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_3_pure_logits_greedy_50_temp_pool_then_calibrate_2025-09-23.npz
mteb/tweet_sentiment_extraction,3,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.530012309551239,1.0714285714285714,,,1.6096489429473877,0.009020090103149414,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_3_pure_logits_greedy_5_temp_pool_then_calibrate_2025-09-23.npz
mteb/tweet_sentiment_extraction,3,pure_logits,greedy_50_temp_calibrate_then_pool,50,28,0.5049659609794617,1.9057059558517286,0.0,1,1.6096489429473877,6.052365303039551,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_3_pure_logits_greedy_50_temp_calibrate_then_pool_2025-09-23.npz
mteb/tweet_sentiment_extraction,3,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.5193415284156799,1.6423157017909205,0.0,1,1.6096489429473877,1.6203336715698242,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_3_pure_logits_greedy_5_temp_calibrate_then_pool_2025-09-23.npz
mteb/tweet_sentiment_extraction,3,pure_logits,greedy_5_post_calib,5,5,0.5184579491615295,1.4192086630570597,0.6247396917950854,1,1.6096489429473877,2.8159141540527344,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_3_pure_logits_greedy_5_post_calib_2025-09-23.npz
mteb/tweet_sentiment_extraction,3,pure_logits,greedy_50_post_calib,50,28,0.49628883600234985,1.1142357351103707,0.941274468971262,1,1.6096489429473877,11.877178192138672,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_3_pure_logits_greedy_50_post_calib_2025-09-23.npz
mteb/tweet_sentiment_extraction,4,pure_logits,greedy_5_baseline,5,5,0.5225674510002136,,,,0.10847735404968262,0.0,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_4_pure_logits_greedy_5_baseline_2025-09-23.npz
mteb/tweet_sentiment_extraction,4,pure_logits,greedy_50_baseline,50,26,0.48796552419662476,,,,0.10847735404968262,0.0,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_4_pure_logits_greedy_50_baseline_2025-09-23.npz
mteb/tweet_sentiment_extraction,4,pure_logits,greedy_50_temp_pool_then_calibrate,50,26,0.4882253408432007,1.0163265306122449,,,0.10847735404968262,0.009858846664428711,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_4_pure_logits_greedy_50_temp_pool_then_calibrate_2025-09-23.npz
mteb/tweet_sentiment_extraction,4,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.5212197303771973,1.126530612244898,,,0.10847735404968262,0.007342338562011719,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_4_pure_logits_greedy_5_temp_pool_then_calibrate_2025-09-23.npz
mteb/tweet_sentiment_extraction,4,pure_logits,greedy_50_temp_calibrate_then_pool,50,26,0.5003982782363892,1.9450895460224906,0.0,1,0.10847735404968262,5.5436084270477295,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_4_pure_logits_greedy_50_temp_calibrate_then_pool_2025-09-23.npz
mteb/tweet_sentiment_extraction,4,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.5146053433418274,1.6707038733860893,0.0,1,0.10847735404968262,1.4687588214874268,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_4_pure_logits_greedy_5_temp_calibrate_then_pool_2025-09-23.npz
