dataset,split_idx,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,ensemble_time,calibration_time,path
FMNIST,0,pure_logits,greedy_5_temp_calibrate_then_pool,5,3,0.2428547739982605,0.9651478550603916,1.0,1,0.5238363742828369,5.3670125007629395,cnn_experiments_data/arrays/fmnist_0_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz
FMNIST,0,pure_logits,greedy_5_post_calib,5,3,0.2419111281633377,1.0121782590587256,0.0,1,0.5238363742828369,10.389752626419067,cnn_experiments_data/arrays/fmnist_0_pure_logits_greedy_5_post_calib_2025-11-30.npz
FMNIST,1,pure_logits,greedy_5_baseline,5,4,0.24198752641677856,,,,0.015899181365966797,0.0,cnn_experiments_data/arrays/fmnist_1_pure_logits_greedy_5_baseline_2025-11-30.npz
FMNIST,1,pure_logits,greedy_5_temp_pool_then_calibrate,5,4,0.24083544313907623,0.9061224489795918,,,0.015899181365966797,0.02461075782775879,cnn_experiments_data/arrays/fmnist_1_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz
FMNIST,1,pure_logits,greedy_5_temp_calibrate_then_pool,5,4,0.24122728407382965,0.9320116618075802,1.0,1,0.015899181365966797,5.221172332763672,cnn_experiments_data/arrays/fmnist_1_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz
FMNIST,1,pure_logits,greedy_5_post_calib,5,4,0.23886826634407043,1.0204748021657641,0.0,1,0.015899181365966797,10.954270839691162,cnn_experiments_data/arrays/fmnist_1_pure_logits_greedy_5_post_calib_2025-11-30.npz
FMNIST,2,pure_logits,greedy_5_baseline,5,4,0.23831544816493988,,,,0.01683497428894043,0.0,cnn_experiments_data/arrays/fmnist_2_pure_logits_greedy_5_baseline_2025-11-30.npz
FMNIST,2,pure_logits,greedy_5_temp_pool_then_calibrate,5,4,0.2365209460258484,0.9061224489795918,,,0.01683497428894043,0.026438474655151367,cnn_experiments_data/arrays/fmnist_2_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz
FMNIST,2,pure_logits,greedy_5_temp_calibrate_then_pool,5,4,0.23694787919521332,0.8950270720533111,1.0,1,0.01683497428894043,6.008971452713013,cnn_experiments_data/arrays/fmnist_2_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz
FMNIST,2,pure_logits,greedy_5_post_calib,5,4,0.2353442758321762,0.9651478550603916,0.3731778425655977,1,0.01683497428894043,10.143801212310791,cnn_experiments_data/arrays/fmnist_2_pure_logits_greedy_5_post_calib_2025-11-30.npz
FMNIST,3,pure_logits,greedy_5_baseline,5,3,0.23061802983283997,,,,0.017086505889892578,0.0,cnn_experiments_data/arrays/fmnist_3_pure_logits_greedy_5_baseline_2025-11-30.npz
FMNIST,3,pure_logits,greedy_5_temp_pool_then_calibrate,5,3,0.22723856568336487,0.9061224489795918,,,0.017086505889892578,0.02597832679748535,cnn_experiments_data/arrays/fmnist_3_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz
FMNIST,3,pure_logits,greedy_5_temp_calibrate_then_pool,5,3,0.22746916115283966,0.8802332361516034,1.0,1,0.017086505889892578,9.512478590011597,cnn_experiments_data/arrays/fmnist_3_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz
FMNIST,3,pure_logits,greedy_5_post_calib,5,3,0.22569026052951813,0.949454394002499,0.24489795918367346,1,0.017086505889892578,11.563169240951538,cnn_experiments_data/arrays/fmnist_3_pure_logits_greedy_5_post_calib_2025-11-30.npz
FMNIST,4,pure_logits,greedy_5_baseline,5,3,0.24084153771400452,,,,0.014544010162353516,0.0,cnn_experiments_data/arrays/fmnist_4_pure_logits_greedy_5_baseline_2025-11-30.npz
FMNIST,4,pure_logits,greedy_5_temp_pool_then_calibrate,5,3,0.23791399598121643,0.8510204081632653,,,0.014544010162353516,0.023300647735595703,cnn_experiments_data/arrays/fmnist_4_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz
FMNIST,4,pure_logits,greedy_5_temp_calibrate_then_pool,5,3,0.23853468894958496,0.8336526447313619,1.0,1,0.014544010162353516,5.5378618240356445,cnn_experiments_data/arrays/fmnist_4_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz
FMNIST,4,pure_logits,greedy_5_post_calib,5,3,0.2363937348127365,0.902423990004165,0.0,1,0.014544010162353516,14.748522996902466,cnn_experiments_data/arrays/fmnist_4_pure_logits_greedy_5_post_calib_2025-11-30.npz
FMNIST,5,pure_logits,greedy_5_baseline,5,4,0.23298706114292145,,,,0.02730107307434082,0.0,cnn_experiments_data/arrays/fmnist_5_pure_logits_greedy_5_baseline_2025-11-30.npz
FMNIST,5,pure_logits,greedy_5_temp_pool_then_calibrate,5,4,0.22860203683376312,0.8510204081632653,,,0.02730107307434082,0.027492523193359375,cnn_experiments_data/arrays/fmnist_5_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz
FMNIST,5,pure_logits,greedy_5_temp_calibrate_then_pool,5,4,0.2295720875263214,0.87533527696793,1.0,1,0.02730107307434082,5.446417331695557,cnn_experiments_data/arrays/fmnist_5_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz
FMNIST,5,pure_logits,greedy_5_post_calib,5,4,0.22789987921714783,0.9573011245314453,0.3765097875885048,1,0.02730107307434082,12.04090929031372,cnn_experiments_data/arrays/fmnist_5_pure_logits_greedy_5_post_calib_2025-11-30.npz
FMNIST,6,pure_logits,greedy_5_baseline,5,5,0.23943407833576202,,,,0.017197370529174805,0.0,cnn_experiments_data/arrays/fmnist_6_pure_logits_greedy_5_baseline_2025-11-30.npz
FMNIST,6,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.23463410139083862,0.8510204081632653,,,0.017197370529174805,0.02833390235900879,cnn_experiments_data/arrays/fmnist_6_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz
FMNIST,6,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.23585595190525055,0.8614410662224073,1.0,1,0.017197370529174805,5.106978178024292,cnn_experiments_data/arrays/fmnist_6_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz
FMNIST,6,pure_logits,greedy_5_post_calib,5,5,0.23285351693630219,0.9729945855893378,0.17492711370262393,1,0.017197370529174805,12.064634561538696,cnn_experiments_data/arrays/fmnist_6_pure_logits_greedy_5_post_calib_2025-11-30.npz
FMNIST,7,pure_logits,greedy_5_baseline,5,4,0.23102860152721405,,,,0.017906904220581055,0.0,cnn_experiments_data/arrays/fmnist_7_pure_logits_greedy_5_baseline_2025-11-30.npz
FMNIST,7,pure_logits,greedy_5_temp_pool_then_calibrate,5,4,0.2291351556777954,0.9061224489795918,,,0.017906904220581055,0.029250383377075195,cnn_experiments_data/arrays/fmnist_7_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz
FMNIST,7,pure_logits,greedy_5_temp_calibrate_then_pool,5,4,0.229452982544899,0.8950270720533111,1.0,1,0.017906904220581055,7.729004383087158,cnn_experiments_data/arrays/fmnist_7_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz
FMNIST,7,pure_logits,greedy_5_post_calib,5,4,0.22830531001091003,0.9729945855893378,0.2182423990004165,1,0.017906904220581055,10.51147174835205,cnn_experiments_data/arrays/fmnist_7_pure_logits_greedy_5_post_calib_2025-11-30.npz
FMNIST,8,pure_logits,greedy_5_baseline,5,5,0.24073061347007751,,,,0.018274545669555664,0.0,cnn_experiments_data/arrays/fmnist_8_pure_logits_greedy_5_baseline_2025-11-30.npz
FMNIST,8,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.23759597539901733,0.8510204081632653,,,0.018274545669555664,0.026929378509521484,cnn_experiments_data/arrays/fmnist_8_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz
FMNIST,8,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.23798033595085144,0.8614410662224073,1.0,1,0.018274545669555664,5.3495447635650635,cnn_experiments_data/arrays/fmnist_8_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz
