SEED,Split,Model,C1,C2,Epi Scalar,Epsilon,NLL Val,NLL Test
34,"('0.2_0.2_0.6_128_OOD_with_noise',)",Simple NN,,,,,0.15439814,0.14772747
34,"('0.2_0.2_0.6_128_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.14852098,0.14239152
34,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_pure_logits,0.8545454545454545,3.2222222222222223,1.0,0.0,0.1444333,0.13357326
34,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb,0.8909090909090909,3.7373737373737375,1.0,0.0,0.14700145,0.1360486
34,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.8363636363636364,97.98994974874373,1.0,0.0,0.14701857,0.1372007
34,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_global,0.9272727272727272,0.0,1.0,0.0,0.14793544,0.1397407
35,"('0.2_0.2_0.6_128_OOD_with_noise',)",Simple NN,,,,,0.14640814,0.13995343
35,"('0.2_0.2_0.6_128_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.14966282,0.14295448
35,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_pure_logits,0.9272727272727272,2.7373737373737375,1.0,0.0,0.14914495,0.14052743
35,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb,0.9454545454545453,4.242424242424242,1.0,0.0,0.14881434,0.13700405
35,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.8363636363636364,290.95477386934675,1.0,0.0,0.1461425,0.13418405
35,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_global,0.8727272727272728,0.9696969696969697,1.0,0.0,0.14757441,0.13665023
36,"('0.2_0.2_0.6_128_OOD_with_noise',)",Simple NN,,,,,0.14961888,0.14120491
36,"('0.2_0.2_0.6_128_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.15143338,0.14537768
36,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_pure_logits,0.9272727272727272,2.8989898989898992,1.0,0.0,0.14945745,0.13802344
36,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb,0.9090909090909092,2.525252525252525,1.0,0.0,0.14973171,0.13979383
36,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.8909090909090909,101.00502512562815,1.0,0.0,0.14912881,0.13885438
36,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_global,0.9090909090909092,0.9494949494949496,1.0,0.0,0.15082778,0.14122057
37,"('0.2_0.2_0.6_128_OOD_with_noise',)",Simple NN,,,,,0.162594,0.15846491
37,"('0.2_0.2_0.6_128_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.14995003,0.14405549
37,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_pure_logits,0.8363636363636364,3.383838383838384,1.0,0.0,0.14541884,0.14271401
37,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb,0.8545454545454545,7.979797979797979,1.0,0.0,0.144282,0.13717352
37,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.8545454545454545,81.4070351758794,1.0,0.0,0.14704156,0.13699836
37,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_global,0.8545454545454545,0.9292929292929294,1.0,0.0,0.14855775,0.13839625
38,"('0.2_0.2_0.6_128_OOD_with_noise',)",Simple NN,,,,,0.16004021,0.15408702
38,"('0.2_0.2_0.6_128_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.14646484,0.13698775
38,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_pure_logits,0.8909090909090909,2.575757575757576,1.0,0.0,0.14350075,0.13086851
38,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb,0.9090909090909092,3.6363636363636362,1.0,0.0,0.14544721,0.13285942
38,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.9454545454545453,0.0,1.0,0.0,0.14612272,0.13575213
38,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_global,0.9454545454545453,0.0,1.0,0.0,0.14612272,0.13575213
39,"('0.2_0.2_0.6_128_OOD_with_noise',)",Simple NN,,,,,0.14786965,0.14421965
39,"('0.2_0.2_0.6_128_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.15365843,0.14942166
39,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_pure_logits,0.7818181818181817,3.6262626262626263,1.0,0.0,0.14571927,0.14228636
39,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb,0.8545454545454545,4.242424242424242,1.0,0.0,0.14970085,0.14196253
39,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.8,149.2462311557789,1.0,0.0,0.15032762,0.14168778
39,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_global,0.8,0.9696969696969697,1.0,0.0,0.15183583,0.1433635
40,"('0.2_0.2_0.6_128_OOD_with_noise',)",Simple NN,,,,,0.14646229,0.14168207
40,"('0.2_0.2_0.6_128_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.15221618,0.14905772
40,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_pure_logits,0.8181818181818181,2.6969696969696972,1.0,0.0,0.14704044,0.14450763
40,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb,0.8363636363636364,4.646464646464646,1.0,0.0,0.1461209,0.1392625
40,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.8,58.79396984924623,1.0,0.0,0.1479421,0.13799751
40,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_global,0.8181818181818181,0.9090909090909092,1.0,0.0,0.14983079,0.1398711
41,"('0.2_0.2_0.6_128_OOD_with_noise',)",Simple NN,,,,,0.15147258,0.14809053
41,"('0.2_0.2_0.6_128_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.15173352,0.14569767
41,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_pure_logits,0.8,4.3939393939393945,1.0,0.0,0.14516021,0.13790733
41,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb,0.8727272727272728,3.2323232323232323,1.0,0.0,0.1481001,0.13848627
41,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.7818181818181817,300.0,1.0,0.0,0.14632882,0.13404909
41,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_global,0.8181818181818181,0.9797979797979799,1.0,0.0,0.14900666,0.13753805
42,"('0.2_0.2_0.6_128_OOD_with_noise',)",Simple NN,,,,,0.15519276,0.14861575
42,"('0.2_0.2_0.6_128_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.1520111,0.1460151
42,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_pure_logits,0.8363636363636364,3.3434343434343434,1.0,0.0,0.14780016,0.13614663
42,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb,0.8727272727272728,3.6363636363636362,1.0,0.0,0.15037787,0.14112322
42,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.8363636363636364,114.57286432160805,1.0,0.0,0.15039217,0.14158663
42,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_global,0.9090909090909092,0.0,1.0,0.0,0.15076739,0.14376205
43,"('0.2_0.2_0.6_128_OOD_with_noise',)",Simple NN,,,,,0.14993154,0.14436401
43,"('0.2_0.2_0.6_128_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.15334545,0.14707057
43,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_pure_logits,0.8909090909090909,2.494949494949495,1.0,0.0,0.15238726,0.14467877
43,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb,0.8909090909090909,3.5353535353535355,1.0,0.0,0.15188302,0.14141837
