SEED,Split,Model,C1,C2,Epi Scalar,Epsilon,NLL Val,NLL Test,NLL Holdout
43,"('0.5_0.2_0.3_32_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.44385594,0.4213364,0.6870726
43,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_pure_logits,0.9454545454545453,1.0,1.0,0.0,0.44360402,0.4203566,0.6990375
43,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb,0.9454545454545453,2.8643216080402008,1.0,0.0,0.44349822,0.4209118,0.6639576
43,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.9272727272727272,50.0,1.0,0.0,0.4446618,0.42335457,0.60599715
43,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_global,0.9454545454545453,0.6130653266331658,1.0,0.0,0.44355097,0.4206487,0.66391414
44,"('0.5_0.2_0.3_32_OOD_with_noise',)",Simple NN,,,,,0.4657678,0.43618643,0.59549755
44,"('0.5_0.2_0.3_32_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.44353467,0.41838077,0.7127012
44,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_pure_logits,0.8181818181818181,3.080402010050251,1.0,0.0,0.44186446,0.4145931,0.62802285
44,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb,0.8181818181818181,15.829145728643216,1.0,0.0,0.44130427,0.41502506,0.5619224
44,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.8545454545454545,64.321608040201,1.0,0.0,0.44212672,0.41558903,0.65045774
44,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_global,0.8727272727272728,0.8894472361809045,1.0,0.0,0.44241467,0.41575164,0.6998636
45,"('0.5_0.2_0.3_32_OOD_with_noise',)",Simple NN,,,,,0.4455441,0.41608125,0.63308066
45,"('0.5_0.2_0.3_32_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.44805956,0.42278737,0.5237333
45,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_pure_logits,0.8727272727272728,1.9045226130653266,1.0,0.0,0.44613996,0.41855428,0.5197467
45,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb,0.8727272727272728,11.306532663316581,1.0,0.0,0.44524214,0.41831023,0.5398874
45,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.8727272727272728,59.54773869346734,1.0,0.0,0.44554785,0.4185285,0.5325244
45,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_global,0.8545454545454545,0.9447236180904522,1.0,0.0,0.445679,0.41835913,0.5306497
46,"('0.5_0.2_0.3_32_OOD_with_noise',)",Simple NN,,,,,0.44721857,0.420729,0.89394116
46,"('0.5_0.2_0.3_32_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.45138976,0.41979784,0.7916868
46,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_pure_logits,1.2,1.7688442211055277,1.0,0.0,0.44514087,0.4189572,0.71912026
46,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb,1.2,6.331658291457286,1.0,0.0,0.4442093,0.41896558,0.70516443
46,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_no_exp,1.1636363636363636,50.0,1.0,0.0,0.44537964,0.42051977,0.6861065
46,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_global,1.2,0.8140703517587939,1.0,0.0,0.44517314,0.41837654,0.70454746
47,"('0.5_0.2_0.3_32_OOD_with_noise',)",Simple NN,,,,,0.44750684,0.4166673,0.684077
47,"('0.5_0.2_0.3_32_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.45812887,0.42592293,1.6647727
47,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_pure_logits,1.0727272727272728,6.020100502512563,1.0,0.0,0.44392377,0.416631,0.641067
47,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb,1.1090909090909091,19.748743718592962,1.0,0.0,0.4418656,0.41473845,0.545079
47,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_no_exp,1.1454545454545455,556.0301507537688,1.0,0.0,0.44657606,0.41786784,0.6130508
47,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_global,1.1636363636363636,0.9899497487437187,1.0,0.0,0.4494431,0.42032072,0.7738507
48,"('0.5_0.2_0.3_32_OOD_with_noise',)",Simple NN,,,,,0.45608243,0.42856106,1.6936102
48,"('0.5_0.2_0.3_32_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.47187075,0.4410465,0.6832365
48,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_pure_logits,0.9818181818181817,4.708542713567839,1.0,0.0,0.470786,0.44046786,0.5177377
48,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb,1.0,19.145728643216078,1.0,0.0,0.47007588,0.44014922,0.54662037
48,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.9818181818181817,398.49246231155774,1.0,0.0,0.47024706,0.44024324,0.5519306
48,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_global,0.8909090909090909,0.9949748743718593,1.0,0.0,0.469117,0.43904752,0.5528793
49,"('0.5_0.2_0.3_32_OOD_with_noise',)",Simple NN,,,,,0.45184872,0.41676897,0.8919265
49,"('0.5_0.2_0.3_32_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.44504127,0.41428027,0.69270283
49,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_pure_logits,0.8727272727272728,4.391959798994975,1.0,0.0,0.43933,0.40984553,0.49322706
49,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb,1.018181818181818,13.115577889447234,1.0,0.0,0.43976316,0.41066912,0.5435992
49,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.9454545454545453,231.40703517587937,1.0,0.0,0.43913046,0.410439,0.5398328
49,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_global,0.9818181818181817,0.9698492462311558,1.0,0.0,0.44098285,0.4123479,0.553657
