dataset,seed,method,ensemble_type,ensemble_size,non_calibrated_nll,calibrated_nll,c1,c2,epi_scalar
imdb,7,pure_logits,greedy,50,0.10383827239274979,0.09805044,1.663265306122449,0.5050505050505051,1
imdb,7,pure_logits,greedy_init,50,0.10363201051950455,0.09841054,1.693877551020408,0.5050505050505051,1
imdb,7,pure_logits,greedy_init_temp,15,0.11815667897462845,0.09525191,1.510204081632653,2.8282828282828283,1
imdb,8,convex_comb,greedy,50,0.10353366285562515,0.100388594,1.2959183673469388,0.0,1
imdb,8,convex_comb,greedy_init,50,0.10494159907102585,0.10177113,1.2959183673469388,0.0,1
imdb,8,convex_comb,greedy_init_temp,15,0.11389902234077454,0.09630106,1.693877551020408,0.030303030303030304,1
imdb,8,pure_logits,greedy,50,0.10353366285562515,0.0978281,1.5408163265306123,0.6060606060606061,1
imdb,8,pure_logits,greedy_init,50,0.10494159907102585,0.09966904,1.510204081632653,0.7070707070707071,1
imdb,8,pure_logits,greedy_init_temp,14,0.12200047075748444,0.095916405,1.3877551020408163,2.929292929292929,1
imdb,9,convex_comb,greedy,50,0.10501176863908768,0.10269178,1.2040816326530612,0.0,1
imdb,9,convex_comb,greedy_init,29,0.11212193965911865,0.102445476,1.4183673469387754,0.0,1
imdb,9,convex_comb,greedy_init_temp,12,0.11900465190410614,0.099731386,1.6326530612244898,0.0,1
imdb,9,pure_logits,greedy,50,0.10501176863908768,0.10001705,1.4489795918367347,0.6060606060606061,1
imdb,9,pure_logits,greedy_init,29,0.11212193965911865,0.10177414,1.510204081632653,0.7070707070707071,1
imdb,9,pure_logits,greedy_init_temp,9,0.1250697523355484,0.098996766,1.4795918367346939,2.121212121212121,1
mteb/tweet_sentiment_extraction,0,convex_comb,greedy,50,0.47722962498664856,0.47207928,1.2959183673469388,0.0,1
mteb/tweet_sentiment_extraction,0,convex_comb,greedy_init,19,0.4795185625553131,0.47611046,1.2959183673469388,0.0,1
mteb/tweet_sentiment_extraction,0,convex_comb,greedy_init_temp,14,0.541772723197937,0.46965605,1.816326530612245,0.0,1
mteb/tweet_sentiment_extraction,0,pure_logits,greedy,50,0.47722962498664856,0.46861598,1.4489795918367347,0.6060606060606061,1
mteb/tweet_sentiment_extraction,0,pure_logits,greedy_init,19,0.4795185625553131,0.47195643,1.5408163265306123,0.6060606060606061,1
mteb/tweet_sentiment_extraction,0,pure_logits,greedy_init_temp,21,0.5646346807479858,0.45791194,1.3571428571428572,3.6363636363636362,1
mteb/tweet_sentiment_extraction,1,convex_comb,greedy,50,0.4770248830318451,0.47232074,1.2653061224489797,0.0,1
mteb/tweet_sentiment_extraction,1,convex_comb,greedy_init,28,0.4808877110481262,0.47594613,1.2959183673469388,0.0,1
mteb/tweet_sentiment_extraction,1,convex_comb,greedy_init_temp,11,0.5538830757141113,0.47164127,1.846938775510204,0.0,1
