dataset,split_idx,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,ensemble_time,calibration_time,path,threshold,set_size,auc,aurac,aorac,ece,ece_adaptive,brier_score,conformal_coverage,conformal_set_size,misclassification
MNIST10Epochs10_5L2Reg,5,pure_logits,greedy_5_baseline,5,5,0.0297283697873353,,,,0.0281531810760498,0.0,cnn_experiments_data/arrays/mnist10epochs10_5l2reg_5_pure_logits_greedy_5_baseline_2025-11-30.npz,0.0,1.0,0.999894759428205,0.9898248444886514,0.010175155511348621,0.003438341123717127,0.0038903023132256555,0.012015811412900998,0.9925,1.0,0.007642857142857143
MNIST10Epochs10_5L2Reg,5,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.0296799913048744,1.0163265306122449,,,0.0281531810760498,0.0491604804992675,cnn_experiments_data/arrays/mnist10epochs10_5l2reg_5_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz,0.0,1.0,0.999894798498033,0.9898263178502734,0.010173682149726582,0.003655975033129918,0.003882347828575527,0.01205799443041265,0.9925,1.0,0.007642857142857143
MNIST10Epochs10_5L2Reg,5,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.0285868346691131,1.231686797167847,1.0,1.0,0.0281531810760498,6.8529133796691895,cnn_experiments_data/arrays/mnist10epochs10_5l2reg_5_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz,0.0,1.0,0.9998962460305553,0.9898304574002494,0.010169542599750558,0.004719573966094437,0.004566000768116525,0.012059577085748596,0.9925892857142857,1.0,0.0075
MNIST10Epochs10_5L2Reg,5,pure_logits,greedy_5_post_calib,5,5,0.025211114436388,1.615826738858809,0.2448979591836734,1.0,0.0281531810760498,20.574673414230347,cnn_experiments_data/arrays/mnist10epochs10_5l2reg_5_pure_logits_greedy_5_post_calib_2025-11-30.npz,0.0,1.0,0.9999170322433617,0.989875619517001,0.010124380482999018,0.0009441254351819831,0.001410450149859728,0.01114175346844321,0.9929464285714286,1.0,0.007214285714285714
MNIST10Epochs10_5L2Reg,6,pure_logits,greedy_5_baseline,5,4,0.0269744265824556,,,,0.0211091041564941,0.0,cnn_experiments_data/arrays/mnist10epochs10_5l2reg_6_pure_logits_greedy_5_baseline_2025-11-30.npz,0.0,1.0,0.9999327890500946,0.9898558695158809,0.010144130484119107,0.0028746941068342443,0.0029373657980135944,0.01218694230769457,0.9917857142857143,1.0,0.008142857142857143
MNIST10Epochs10_5L2Reg,6,pure_logits,greedy_5_temp_pool_then_calibrate,5,4,0.027126308530569,1.126530612244898,,,0.0211091041564941,0.0308895111083984,cnn_experiments_data/arrays/mnist10epochs10_5l2reg_6_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz,0.0,1.0,0.9999329231879225,0.9898580126946999,0.010141987305300137,0.0036495391215597235,0.0038789852964026873,0.012484813582985749,0.9917857142857143,1.0,0.008142857142857143
MNIST10Epochs10_5L2Reg,6,pure_logits,greedy_5_temp_calibrate_then_pool,5,4,0.0263173226267099,1.3182007496876302,1.0,1.0,0.0211091041564941,11.381056547164915,cnn_experiments_data/arrays/mnist10epochs10_5l2reg_6_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz,0.0,1.0,0.9999351471263023,0.9898696404821113,0.010130359517888654,0.004087504982948315,0.004194048210978459,0.012171530913092986,0.991875,1.0,0.007928571428571429
MNIST10Epochs10_5L2Reg,6,pure_logits,greedy_5_post_calib,5,4,0.0236189421266317,1.6831486880466473,0.4897959183673469,1.0,0.0211091041564941,10.684483289718628,cnn_experiments_data/arrays/mnist10epochs10_5l2reg_6_pure_logits_greedy_5_post_calib_2025-11-30.npz,0.0,1.0,0.9999456989601319,0.9899070944293418,0.010092905570658228,0.0017962544815880803,0.0023824251868895573,0.011318400138511875,0.9925892857142857,1.0,0.007214285714285714
MNIST10Epochs10_5L2Reg,7,pure_logits,greedy_5_baseline,5,5,0.0280965156853199,,,,0.018369436264038,0.0,cnn_experiments_data/arrays/mnist10epochs10_5l2reg_7_pure_logits_greedy_5_baseline_2025-11-30.npz,0.0,1.0,0.9999211305578019,0.9898266540796447,0.010173345920355348,0.0028930301495961016,0.003036902715052856,0.01221184433023672,0.9920535714285714,1.0,0.0074285714285714285
MNIST10Epochs10_5L2Reg,7,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.0284374002367258,0.9061224489795918,,,0.018369436264038,0.028228759765625,cnn_experiments_data/arrays/mnist10epochs10_5l2reg_7_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz,0.0,1.0,0.9999193262894159,0.9898272791635551,0.010172720836444937,0.001980718470045469,0.0029687004493815176,0.012014667418267067,0.9920535714285714,1.0,0.0074285714285714285
MNIST10Epochs10_5L2Reg,7,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.027644844725728,1.1035401915868388,1.0,1.0,0.018369436264038,14.572072982788086,cnn_experiments_data/arrays/mnist10epochs10_5l2reg_7_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz,0.0,1.0,0.9999216279155348,0.9898240360889795,0.010175963911020491,0.0031000553135361007,0.003179593162877238,0.012240134932421338,0.9920535714285714,1.0,0.0074285714285714285
MNIST10Epochs10_5L2Reg,7,pure_logits,greedy_5_post_calib,5,5,0.0259281303733587,1.4535443565181176,0.3498542274052478,1.0,0.018369436264038,17.1104793548584,cnn_experiments_data/arrays/mnist10epochs10_5l2reg_7_pure_logits_greedy_5_post_calib_2025-11-30.npz,0.0,1.0,0.9999307779204812,0.9898409125255294,0.010159087474470585,0.002025155144078401,0.0024436046587569455,0.011879872080376585,0.9921428571428571,1.0,0.007571428571428572
MNIST10Epochs10_5L2Reg,8,pure_logits,greedy_5_baseline,5,4,0.024588095024228,,,,0.0191714763641357,0.0,cnn_experiments_data/arrays/mnist10epochs10_5l2reg_8_pure_logits_greedy_5_baseline_2025-11-30.npz,0.0,1.0,0.9999382781853339,0.989840693771385,0.01015930622861505,0.002047820067831422,0.0023836838177272437,0.01129897565493177,0.9924107142857143,1.0,0.007785714285714286
