dataset,split_idx,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,ensemble_time,calibration_time,path,threshold,set_size,auc,aurac,aorac,ece,ece_adaptive,brier_score,conformal_coverage,conformal_set_size,accuracy
FMNIST,7,pure_logits,greedy_5_temp_calibrate_then_pool,5,4,0.229452982544899,0.8950270720533111,1.0,1.0,0.017906904220581,7.729004383087158,cnn_experiments_data/arrays/fmnist_7_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz,0.9985508218684769,2.5901428571428573,0.994870924402489,0.9786304629177178,0.021369537082282175,0.0076976351823125145,0.0076976351823125145,0.11978370316369218,0.9989285714285714,2.6557142857142857,0.9162857142857143
FMNIST,7,pure_logits,greedy_5_post_calib,5,4,0.22830531001091,0.9729945855893378,0.2182423990004165,1.0,0.017906904220581,10.51147174835205,cnn_experiments_data/arrays/fmnist_7_pure_logits_greedy_5_post_calib_2025-11-30.npz,0.9980315976229037,2.4811428571428573,0.9949304343378126,0.9787192487570293,0.021280751242970686,0.005669922315648602,0.005669922315648602,0.11956400769025469,0.9988392857142857,2.469642857142857,0.9162142857142858
FMNIST,8,pure_logits,greedy_5_baseline,5,5,0.2407306134700775,,,,0.0182745456695556,0.0,cnn_experiments_data/arrays/fmnist_8_pure_logits_greedy_5_baseline_2025-11-30.npz,0.9946747716526181,2.4218571428571427,0.9944659995008289,0.9775951752711661,0.022404824728833872,0.018353492953947628,0.018353492953947628,0.12644247184740837,0.9995535714285714,2.796160714285714,0.9138571428571428
FMNIST,8,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.2375959753990173,0.8510204081632653,,,0.0182745456695556,0.0269293785095214,cnn_experiments_data/arrays/fmnist_8_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz,0.9980315976229037,2.4215,0.9944751316294568,0.9776261940048409,0.022373805995159146,0.004152348431093381,0.004152348431093381,0.1253402697992109,0.9995535714285714,2.742410714285714,0.9138571428571428
FMNIST,8,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.2379803359508514,0.8614410662224073,1.0,1.0,0.0182745456695556,5.349544763565064,cnn_experiments_data/arrays/fmnist_8_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz,0.9977059127281483,2.421,0.994464958817962,0.9775910545697128,0.022408945430287153,0.005937228700944348,0.005937228700944348,0.12557169772759288,0.9995535714285714,2.7514285714285713,0.9139285714285714
FMNIST,8,pure_logits,greedy_5_post_calib,5,5,0.2371939867734909,0.949454394002499,0.2448979591836734,1.0,0.0182745456695556,10.2090265750885,cnn_experiments_data/arrays/fmnist_8_pure_logits_greedy_5_post_calib_2025-11-30.npz,0.9980315976229037,2.540785714285714,0.9944705589771077,0.9776316299960583,0.02236837000394165,0.0037562137969902607,0.0037562137969902607,0.12505441250808852,0.9991964285714285,2.708392857142857,0.9135714285714286
FMNIST,9,pure_logits,greedy_5_baseline,5,4,0.2347074300050735,,,,0.0164263248443603,0.0,cnn_experiments_data/arrays/fmnist_9_pure_logits_greedy_5_baseline_2025-11-30.npz,0.9960794578607566,2.5005714285714284,0.9948802986055709,0.9786140870112098,0.021385912988790223,0.0198445578813553,0.0198445578813553,0.12264740279563056,0.9994642857142857,2.747232142857143,0.9165714285714286
FMNIST,9,pure_logits,greedy_5_temp_pool_then_calibrate,5,4,0.2313964813947677,0.8510204081632653,,,0.0164263248443603,0.0253751277923584,cnn_experiments_data/arrays/fmnist_9_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz,0.9983110459808135,2.4162142857142856,0.994893654369509,0.9786058722407457,0.02139412775925431,0.003909040140254137,0.003909040140254137,0.12144182899194902,0.9994642857142857,2.7252678571428572,0.9165714285714286
FMNIST,9,pure_logits,greedy_5_temp_calibrate_then_pool,5,4,0.2318324446678161,0.8614410662224073,1.0,1.0,0.0164263248443603,5.784407615661621,cnn_experiments_data/arrays/fmnist_9_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz,0.9980315976229037,2.4132857142857143,0.9948850189545091,0.978608761806684,0.02139123819331601,0.006782629464353819,0.006782629464353819,0.12164894903774302,0.9994642857142857,2.7259821428571427,0.9163571428571429
FMNIST,9,pure_logits,greedy_5_post_calib,5,4,0.2306791394948959,0.9246147438567264,0.4897959183673469,1.0,0.0164263248443603,10.93205451965332,cnn_experiments_data/arrays/fmnist_9_pure_logits_greedy_5_post_calib_2025-11-30.npz,0.9980315976229037,2.4385,0.9949010350706716,0.978562275385836,0.021437724614164044,0.005696088601435899,0.005696088601435899,0.12130937594374275,0.9994642857142857,2.711607142857143,0.9165
