dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,path,threshold,set_size,auc
mteb/tweet_sentiment_extraction,2,convex_comb,greedy_50_baseline,50,23,0.4738423824310303,,,,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_2_convex_comb_greedy_50_baseline_2025-04-25.npz,0.9753793916128501,2.32088285229202,0.936693719732232
mteb/tweet_sentiment_extraction,2,convex_comb,greedy_50_temp_baseline,50,23,0.4736723005771637,1.0163265306122449,,,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_2_convex_comb_greedy_50_temp_baseline_2025-04-25.npz,0.9734204999598582,2.309564233163554,0.9367032704706872
mteb/tweet_sentiment_extraction,2,convex_comb,greedy_unique_5_temp_baseline,5,5,0.4971521198749542,1.0714285714285714,,,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_2_convex_comb_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9753793916128501,2.437181663837012,0.9314293347966417
mteb/tweet_sentiment_extraction,2,convex_comb,greedy_unique_5_post_calib,5,5,0.4902462661266327,1.352436484798001,0.0,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_2_convex_comb_greedy_unique_5_post_calib_2025-04-25.npz,0.9509621946209896,2.247311827956989,0.9344176491566604
mteb/tweet_sentiment_extraction,2,convex_comb,greedy_50_post_calib,50,23,0.4707393050193786,1.2619741774260724,0.0,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_2_convex_comb_greedy_50_post_calib_2025-04-25.npz,0.954576248590888,2.183078664402943,0.9383041655297056
mteb/tweet_sentiment_extraction,2,convex_comb,greedy_50_calib_once,13,12,0.4707552790641784,1.795052061640983,0.0,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_2_convex_comb_greedy_50_calib_once_2025-04-25.npz,0.9509621946209896,2.0667798528579513,0.9405741204871805
mteb/tweet_sentiment_extraction,2,convex_comb,greedy_50_calib_every_step,10,10,0.471483826637268,1.8202915451895043,0.0,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_2_convex_comb_greedy_50_calib_every_step_2025-04-25.npz,0.9509621946209896,2.097057159026599,0.9408066611788971
mteb/tweet_sentiment_extraction,2,pure_logits,greedy_unique_5_baseline,5,5,0.4976391792297363,,,,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_2_pure_logits_greedy_unique_5_baseline_2025-04-25.npz,0.9804316278758956,2.43350311262026,0.9314046892508365
mteb/tweet_sentiment_extraction,2,pure_logits,greedy_50_baseline,50,23,0.4738423824310303,,,,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_2_pure_logits_greedy_50_baseline_2025-04-25.npz,0.9753793916128501,2.32088285229202,0.936693719732232
mteb/tweet_sentiment_extraction,2,pure_logits,greedy_50_temp_baseline,50,23,0.4736723005771637,1.0163265306122449,,,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_2_pure_logits_greedy_50_temp_baseline_2025-04-25.npz,0.9734204999598582,2.309564233163554,0.9367032704706872
mteb/tweet_sentiment_extraction,2,pure_logits,greedy_unique_5_temp_baseline,5,5,0.4971521198749542,1.0714285714285714,,,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_2_pure_logits_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9753793916128501,2.437181663837012,0.9314293347966417
mteb/tweet_sentiment_extraction,2,pure_logits,greedy_unique_5_post_calib,5,5,0.4765148460865021,1.53076218242399,0.163265306122449,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_2_pure_logits_greedy_unique_5_post_calib_2025-04-25.npz,0.9509621946209896,2.1338426711941145,0.9386861000449396
mteb/tweet_sentiment_extraction,2,pure_logits,greedy_50_post_calib,50,23,0.4665455818176269,1.4511953352769682,0.599750104123282,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_2_pure_logits_greedy_50_post_calib_2025-04-25.npz,0.9509621946209896,2.058573853989813,0.9403062099207077
mteb/tweet_sentiment_extraction,2,pure_logits,greedy_50_calib_once,15,12,0.4622175693511963,1.350537276134944,3.358600583090379,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_2_pure_logits_greedy_50_calib_once_2025-04-25.npz,0.9690227498992263,2.109507640067912,0.9398162821313871
mteb/tweet_sentiment_extraction,2,pure_logits,greedy_50_calib_every_step,21,18,0.4622125625610351,1.1913036234902123,3.7484381507705127,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_2_pure_logits_greedy_50_calib_every_step_2025-04-25.npz,0.9713057528362042,2.1061120543293717,0.9394605126975509
mteb/tweet_sentiment_extraction,3,convex_comb,greedy_unique_5_baseline,5,5,0.5257154107093811,,,,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_3_convex_comb_greedy_unique_5_baseline_2025-04-25.npz,0.9908993078017677,2.1661007357102435,0.932248968947022
