dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,path,aurac,aorac
imdb,4,convex_comb,greedy_unique_5_baseline,5,5,0.122335098683834,,,,llm_experiments_data/arrays/ftc_imdb_4_convex_comb_greedy_unique_5_baseline_2025-04-25.npz,0.9859904463908261,0.014009553609173886
imdb,4,convex_comb,greedy_50_baseline,50,14,0.1074721291661262,,,,llm_experiments_data/arrays/ftc_imdb_4_convex_comb_greedy_50_baseline_2025-04-25.npz,0.983564856504251,0.01643514349574904
imdb,4,convex_comb,greedy_50_temp_baseline,50,14,0.1072030439972877,1.0163265306122449,,,llm_experiments_data/arrays/ftc_imdb_4_convex_comb_greedy_50_temp_baseline_2025-04-25.npz,0.983564856504251,0.01643514349574904
imdb,4,convex_comb,greedy_unique_5_temp_baseline,5,5,0.1014102846384048,1.5122448979591838,,,llm_experiments_data/arrays/ftc_imdb_4_convex_comb_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9859904463908261,0.014009553609173886
imdb,4,convex_comb,greedy_unique_5_post_calib,5,5,0.1014940738677978,1.5481549354435653,0.2538942107455226,1.0,llm_experiments_data/arrays/ftc_imdb_4_convex_comb_greedy_unique_5_post_calib_2025-04-25.npz,0.9860162614148338,0.013983738585166217
imdb,4,convex_comb,greedy_50_post_calib,50,14,0.1034569516777992,1.265472719700125,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_4_convex_comb_greedy_50_post_calib_2025-04-25.npz,0.9842288400358031,0.015771159964196868
imdb,4,convex_comb,greedy_50_calib_once,8,8,0.1005255877971649,1.5865389421074554,0.3098708871303623,1.0,llm_experiments_data/arrays/ftc_imdb_4_convex_comb_greedy_50_calib_once_2025-04-25.npz,0.9860441845645581,0.013955815435441887
imdb,4,convex_comb,greedy_50_calib_every_step,8,8,0.1005255877971649,1.5865389421074554,0.3098708871303623,1.0,llm_experiments_data/arrays/ftc_imdb_4_convex_comb_greedy_50_calib_every_step_2025-04-25.npz,0.9860441845645581,0.013955815435441887
imdb,4,pure_logits,greedy_unique_5_baseline,5,5,0.122335098683834,,,,llm_experiments_data/arrays/ftc_imdb_4_pure_logits_greedy_unique_5_baseline_2025-04-25.npz,0.9859904463908261,0.014009553609173886
imdb,4,pure_logits,greedy_50_baseline,50,14,0.1074721291661262,,,,llm_experiments_data/arrays/ftc_imdb_4_pure_logits_greedy_50_baseline_2025-04-25.npz,0.983564856504251,0.01643514349574904
imdb,4,pure_logits,greedy_50_temp_baseline,50,14,0.1072030439972877,1.0163265306122449,,,llm_experiments_data/arrays/ftc_imdb_4_pure_logits_greedy_50_temp_baseline_2025-04-25.npz,0.983564856504251,0.01643514349574904
imdb,4,pure_logits,greedy_unique_5_temp_baseline,5,5,0.1014102846384048,1.5122448979591838,,,llm_experiments_data/arrays/ftc_imdb_4_pure_logits_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9859904463908261,0.014009553609173886
