dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,path,aurac,aorac
imdb,3,pure_logits,greedy_unique_5_baseline,5,5,0.1308992207050323,,,,llm_experiments_data/arrays/imdb_3_pure_logits_greedy_unique_5_baseline_2025-04-20.npz,0.9811119392703952,0.018888060729604805
imdb,3,pure_logits,greedy_50_baseline,50,20,0.1263695061206817,,,,llm_experiments_data/arrays/imdb_3_pure_logits_greedy_50_baseline_2025-04-20.npz,0.9822058554637462,0.01779414453625383
imdb,3,pure_logits,greedy_50_temp_baseline,50,20,0.1261262595653534,1.0163265306122449,,,llm_experiments_data/arrays/imdb_3_pure_logits_greedy_50_temp_baseline_2025-04-20.npz,0.9822058554637462,0.01779414453625383
imdb,3,pure_logits,greedy_unique_5_temp_baseline,5,5,0.1308252960443496,0.9061224489795918,,,llm_experiments_data/arrays/imdb_3_pure_logits_greedy_unique_5_temp_baseline_2025-04-20.npz,0.9811119392703952,0.018888060729604805
imdb,3,pure_logits,greedy_unique_5_post_calib,5,5,0.130712553858757,1.0224739691795086,0.9062890462307372,1.0,llm_experiments_data/arrays/imdb_3_pure_logits_greedy_unique_5_post_calib_2025-04-20.npz,0.9815234708889254,0.018476529111074558
imdb,3,pure_logits,greedy_50_post_calib,50,20,0.126470685005188,1.0828488129945857,0.9662640566430654,1.0,llm_experiments_data/arrays/imdb_3_pure_logits_greedy_50_post_calib_2025-04-20.npz,0.982402518181454,0.017597481818546035
imdb,3,pure_logits,greedy_50_calib_once,22,14,0.125908225774765,1.3963182007496877,2.620574760516451,1.0,llm_experiments_data/arrays/imdb_3_pure_logits_greedy_50_calib_once_2025-04-20.npz,0.9820346263423663,0.017965373657633732
imdb,3,pure_logits,greedy_50_calib_every_step,20,15,0.1265313327312469,1.3182007496876302,2.3590170762182425,1.0,llm_experiments_data/arrays/imdb_3_pure_logits_greedy_50_calib_every_step_2025-04-20.npz,0.9811874951470129,0.018812504852987133
imdb,4,convex_comb,greedy_unique_5_baseline,5,5,0.1434182375669479,,,,llm_experiments_data/arrays/imdb_4_convex_comb_greedy_unique_5_baseline_2025-04-20.npz,0.9798085632713537,0.020191436728646317
imdb,4,convex_comb,greedy_50_baseline,50,21,0.1295195668935775,,,,llm_experiments_data/arrays/imdb_4_convex_comb_greedy_50_baseline_2025-04-20.npz,0.9812800706238075,0.01871992937619249
