dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,path,threshold,set_size,auc,aurac,aorac
stanfordnlp/sst2,2,convex_comb,greedy_unique_5_baseline,5,5,0.1527063548564911,,,,llm_experiments_data/arrays/stanfordnlp_sst2_2_convex_comb_greedy_unique_5_baseline_2025-04-24.npz,0.9876386320173118,1.249072011878248,0.9854276418178386,0.9785099544343111,0.021490045565688898
stanfordnlp/sst2,2,convex_comb,greedy_50_baseline,50,24,0.1325282305479049,,,,llm_experiments_data/arrays/stanfordnlp_sst2_2_convex_comb_greedy_50_baseline_2025-04-24.npz,0.9428485727976632,1.1888455827765405,0.9877149011394204,0.9821120822757936,0.017887917724206392
stanfordnlp/sst2,2,convex_comb,greedy_50_temp_baseline,50,24,0.1324533820152282,1.0163265306122449,,,llm_experiments_data/arrays/stanfordnlp_sst2_2_convex_comb_greedy_50_temp_baseline_2025-04-24.npz,0.9383014287164605,1.1853192279138827,0.9877149011394204,0.9821120822757936,0.017887917724206392
stanfordnlp/sst2,2,convex_comb,greedy_unique_5_temp_baseline,5,5,0.1477029919624328,1.236734693877551,,,llm_experiments_data/arrays/stanfordnlp_sst2_2_convex_comb_greedy_unique_5_temp_baseline_2025-04-24.npz,0.9713057528362042,1.2477728285077951,0.985427676619079,0.9785099544343111,0.021490045565688898
stanfordnlp/sst2,2,convex_comb,greedy_unique_5_post_calib,5,5,0.1444293558597564,1.373427738442316,0.0,1.0,llm_experiments_data/arrays/stanfordnlp_sst2_2_convex_comb_greedy_unique_5_post_calib_2025-04-24.npz,0.9665581041966967,1.2424832962138084,0.9857602546726929,0.978996248193204,0.021003751806796034
stanfordnlp/sst2,2,convex_comb,greedy_50_post_calib,50,24,0.1316963583230972,1.231686797167847,0.0,1.0,llm_experiments_data/arrays/stanfordnlp_sst2_2_convex_comb_greedy_50_post_calib_2025-04-24.npz,0.9383014287164605,1.1874536005939125,0.9880161232754593,0.982397611249027,0.017602388750972975
stanfordnlp/sst2,2,convex_comb,greedy_50_calib_once,7,7,0.1372168213129043,2.219475218658892,0.0,1.0,llm_experiments_data/arrays/stanfordnlp_sst2_2_convex_comb_greedy_50_calib_once_2025-04-24.npz,0.9690227498992263,1.175946547884187,0.9883859386562711,0.9825781067850309,0.01742189321496912
stanfordnlp/sst2,2,convex_comb,greedy_50_calib_every_step,13,11,0.134418785572052,1.7804581424406498,0.0,1.0,llm_experiments_data/arrays/stanfordnlp_sst2_2_convex_comb_greedy_50_calib_every_step_2025-04-24.npz,0.9509621946209896,1.205456570155902,0.9882105752060372,0.9827380190795169,0.017261980920483144
stanfordnlp/sst2,2,pure_logits,greedy_unique_5_baseline,5,5,0.1527063548564911,,,,llm_experiments_data/arrays/stanfordnlp_sst2_2_pure_logits_greedy_unique_5_baseline_2025-04-24.npz,0.9876386320173118,1.249072011878248,0.9854276418178386,0.9785099544343111,0.021490045565688898
stanfordnlp/sst2,2,pure_logits,greedy_50_baseline,50,24,0.1325282305479049,,,,llm_experiments_data/arrays/stanfordnlp_sst2_2_pure_logits_greedy_50_baseline_2025-04-24.npz,0.9428485727976632,1.1888455827765405,0.9877149011394204,0.9821120822757936,0.017887917724206392
