dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,path,threshold,set_size,auc,aurac,aorac
ag_news,3,pure_logits,greedy_unique_5_post_calib,5,5,0.143793374300003,1.4937276134943775,0.1949187838400666,1.0,llm_experiments_data/arrays/ftc_ag_news_3_pure_logits_greedy_unique_5_post_calib_2025-04-25.npz,0.9915700228248736,1.9278947368421053,0.9948654146882937,0.9837931790386442,0.01620682096135584
ag_news,3,pure_logits,greedy_50_post_calib,50,20,0.1382708400487899,1.53076218242399,0.5397750937109538,1.0,llm_experiments_data/arrays/ftc_ag_news_3_pure_logits_greedy_50_post_calib_2025-04-25.npz,0.9901752286196761,1.7517105263157895,0.9953660847106858,0.9844703134355587,0.015529686564441314
ag_news,3,pure_logits,greedy_50_calib_once,8,8,0.1368835717439651,1.4937276134943775,2.0324864639733446,1.0,llm_experiments_data/arrays/ftc_ag_news_3_pure_logits_greedy_50_calib_once_2025-04-25.npz,0.9942510800363944,1.9310526315789474,0.9951101787568692,0.9845901361106035,0.015409863889396469
ag_news,3,pure_logits,greedy_50_calib_every_step,10,10,0.1386734992265701,1.4937276134943775,1.9042065805914203,1.0,llm_experiments_data/arrays/ftc_ag_news_3_pure_logits_greedy_50_calib_every_step_2025-04-25.npz,0.9954307788259918,2.1426315789473684,0.9950989125554326,0.984552722503379,0.015447277496621004
ag_news,4,convex_comb,greedy_unique_5_baseline,5,5,0.1665987223386764,,,,llm_experiments_data/arrays/ftc_ag_news_4_convex_comb_greedy_unique_5_baseline_2025-04-25.npz,0.9992724053006923,2.3307894736842107,0.9925840776152586,0.9801782306755751,0.01982176932442492
ag_news,4,convex_comb,greedy_50_baseline,50,22,0.1534280180931091,,,,llm_experiments_data/arrays/ftc_ag_news_4_convex_comb_greedy_50_baseline_2025-04-25.npz,0.9987565574710574,2.3918421052631578,0.9930873556739914,0.9805463208278444,0.01945367917215557
ag_news,4,convex_comb,greedy_50_temp_baseline,50,22,0.1517852842807769,1.0714285714285714,,,llm_experiments_data/arrays/ftc_ag_news_4_convex_comb_greedy_50_temp_baseline_2025-04-25.npz,0.9980315976229037,2.3943421052631577,0.9930870505200109,0.9805328708646714,0.019467129135328554
ag_news,4,convex_comb,greedy_unique_5_temp_baseline,5,5,0.1636596620082855,1.126530612244898,,,llm_experiments_data/arrays/ftc_ag_news_4_convex_comb_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9983110459808135,2.3367105263157897,0.9925891338279978,0.9801430712155661,0.019856928784433903
ag_news,4,convex_comb,greedy_unique_5_post_calib,5,5,0.1574797928333282,1.330445647646814,0.0,1.0,llm_experiments_data/arrays/ftc_ag_news_4_convex_comb_greedy_unique_5_post_calib_2025-04-25.npz,0.995767527418137,2.326842105263158,0.993052186189289,0.9807325209319506,0.019267479068049376
ag_news,4,convex_comb,greedy_50_post_calib,50,22,0.1462900936603546,1.374427321949188,0.0,1.0,llm_experiments_data/arrays/ftc_ag_news_4_convex_comb_greedy_50_post_calib_2025-04-25.npz,0.9946747716526181,2.345263157894737,0.9941657759975345,0.9821697685605429,0.017830231439457056
ag_news,4,convex_comb,greedy_50_calib_once,10,10,0.1451035887002945,1.6843981674302375,0.0,1.0,llm_experiments_data/arrays/ftc_ag_news_4_convex_comb_greedy_50_calib_once_2025-04-25.npz,0.9927668021552672,1.9219736842105264,0.9951401169605101,0.9839160872224912,0.016083912777508758
ag_news,4,convex_comb,greedy_50_calib_every_step,10,10,0.1451035887002945,1.6843981674302375,0.0,1.0,llm_experiments_data/arrays/ftc_ag_news_4_convex_comb_greedy_50_calib_every_step_2025-04-25.npz,0.9927668021552672,1.9219736842105264,0.9951401169605101,0.9839160872224912,0.016083912777508758
ag_news,4,pure_logits,greedy_unique_5_baseline,5,5,0.1665987223386764,,,,llm_experiments_data/arrays/ftc_ag_news_4_pure_logits_greedy_unique_5_baseline_2025-04-25.npz,0.9992724053006923,2.3307894736842107,0.9925840776152586,0.9801782306755751,0.01982176932442492
ag_news,4,pure_logits,greedy_50_baseline,50,22,0.1534280180931091,,,,llm_experiments_data/arrays/ftc_ag_news_4_pure_logits_greedy_50_baseline_2025-04-25.npz,0.9987565574710574,2.3918421052631578,0.9930873556739914,0.9805463208278444,0.01945367917215557
ag_news,4,pure_logits,greedy_50_temp_baseline,50,22,0.1517852842807769,1.0714285714285714,,,llm_experiments_data/arrays/ftc_ag_news_4_pure_logits_greedy_50_temp_baseline_2025-04-25.npz,0.9980315976229037,2.3943421052631577,0.9930870505200109,0.9805328708646714,0.019467129135328554
ag_news,4,pure_logits,greedy_unique_5_temp_baseline,5,5,0.1636596620082855,1.126530612244898,,,llm_experiments_data/arrays/ftc_ag_news_4_pure_logits_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9983110459808135,2.3367105263157897,0.9925891338279978,0.9801430712155661,0.019856928784433903
ag_news,4,pure_logits,greedy_unique_5_post_calib,5,5,0.1487895101308822,1.5060724698042485,0.0,1.0,llm_experiments_data/arrays/ftc_ag_news_4_pure_logits_greedy_unique_5_post_calib_2025-04-25.npz,0.9932998840740801,2.1232894736842107,0.9944728600568333,0.9829427809395893,0.01705721906041069
ag_news,4,pure_logits,greedy_50_post_calib,50,22,0.1433628350496292,1.535360266555602,0.4897959183673469,1.0,llm_experiments_data/arrays/ftc_ag_news_4_pure_logits_greedy_50_post_calib_2025-04-25.npz,0.9932998840740801,2.034473684210526,0.9950210347902192,0.9836475632500409,0.01635243674995912
ag_news,4,pure_logits,greedy_50_calib_once,8,8,0.1423380225896835,1.4868804664723034,2.015826738858809,1.0,llm_experiments_data/arrays/ftc_ag_news_4_pure_logits_greedy_50_calib_once_2025-04-25.npz,0.9937936782064581,1.8635526315789475,0.9948596126604701,0.9840150120820929,0.015984987917907145
ag_news,4,pure_logits,greedy_50_calib_every_step,9,9,0.1434992998838424,1.4937276134943775,1.9192003331945025,1.0,llm_experiments_data/arrays/ftc_ag_news_4_pure_logits_greedy_50_calib_every_step_2025-04-25.npz,0.9942510800363944,1.9422368421052632,0.9948954948991316,0.9839962783420705,0.016003721657929515
dbpedia_14,0,convex_comb,greedy_unique_5_baseline,5,5,0.0383507534861564,,,,llm_experiments_data/arrays/ftc_dbpedia_14_0_convex_comb_greedy_unique_5_baseline_2025-04-25.npz,0.9997508750957141,1.278457142857143,0.9998399975824176,0.9895245362306879,0.010475463769312077
