dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,ensemble_time,calibration_time,path,threshold,set_size,auc,aurac,aorac
imdb,3,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.1031830087304115,1.657009579341941,0.0,1.0,0.0989115238189697,37.16633057594299,llm_experiments_data/arrays/extended_imdb_3_pure_logits_greedy_5_temp_calibrate_then_pool_2025-09-23.npz,0.9610249264065008,1.10664,0.993117029950255,0.9856704619611472,0.01432953803885284
imdb,3,pure_logits,greedy_5_post_calib,5,5,0.1030147820711135,1.6290712203248647,0.326530612244898,1.0,0.0989115238189697,2.563664197921753,llm_experiments_data/arrays/extended_imdb_3_pure_logits_greedy_5_post_calib_2025-09-23.npz,0.9610249264065008,1.10712,0.9930797879495905,0.9856557698467598,0.014344230153240156
imdb,3,pure_logits,greedy_50_post_calib,50,19,0.0991458222270011,1.53076218242399,0.6397334443981675,1.0,0.0989115238189697,18.334806203842163,llm_experiments_data/arrays/extended_imdb_3_pure_logits_greedy_50_post_calib_2025-09-23.npz,0.9509621946209896,1.10636,0.9926662123001784,0.9852994148103915,0.014700585189608484
imdb,4,pure_logits,greedy_5_baseline,5,5,0.122335098683834,,,,0.1000404357910156,0.0,llm_experiments_data/arrays/extended_imdb_4_pure_logits_greedy_5_baseline_2025-09-23.npz,0.992191306592376,1.09308,0.9935110521355315,0.9859904463908261,0.014009553609173886
imdb,4,pure_logits,greedy_50_baseline,50,14,0.1074721291661262,,,,0.1000404357910156,0.0,llm_experiments_data/arrays/extended_imdb_4_pure_logits_greedy_50_baseline_2025-09-23.npz,0.9579239491627013,1.11416,0.9906149942389754,0.983564856504251,0.01643514349574904
imdb,4,pure_logits,greedy_50_temp_pool_then_calibrate,50,14,0.1072030439972877,1.0163265306122449,,,0.1000404357910156,0.0105204582214355,llm_experiments_data/arrays/extended_imdb_4_pure_logits_greedy_50_temp_pool_then_calibrate_2025-09-23.npz,0.954576248590888,1.10916,0.9906150070389766,0.983564856504251,0.01643514349574904
imdb,4,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.1014102846384048,1.5122448979591838,,,0.1000404357910156,0.0076649188995361,llm_experiments_data/arrays/extended_imdb_4_pure_logits_greedy_5_temp_pool_then_calibrate_2025-09-23.npz,0.9610249264065008,1.09328,0.9935110905355358,0.9859904463908261,0.014009553609173886
imdb,4,pure_logits,greedy_50_temp_calibrate_then_pool,50,14,0.1013219058513641,1.657009579341941,0.0,1.0,0.1000404357910156,5.932125806808472,llm_experiments_data/arrays/extended_imdb_4_pure_logits_greedy_50_temp_calibrate_then_pool_2025-09-23.npz,0.9610249264065008,1.09576,0.9936475705495111,0.9860724021885409,0.013927597811459136
imdb,4,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.1026538833975792,1.7114369012911288,0.0,1.0,0.1000404357910156,6.030805826187134,llm_experiments_data/arrays/extended_imdb_4_pure_logits_greedy_5_temp_calibrate_then_pool_2025-09-23.npz,0.9638973636691187,1.09736,0.9936737945521966,0.9860831605803286,0.013916839419671367
imdb,4,pure_logits,greedy_5_post_calib,5,5,0.1012125760316848,1.5184173261141192,1.1895043731778423,1.0,0.1000404357910156,2.53559947013855,llm_experiments_data/arrays/extended_imdb_4_pure_logits_greedy_5_post_calib_2025-09-23.npz,0.9638973636691187,1.09736,0.9935274553372114,0.9859986627997077,0.014001337200292285
